07/04/2026 - 19:38:12 (-3 TMZ) | 06:00:03:12 (Artemis Clock) | y los aviónicos de propulsión están configurados.
07/04/2026 - 19:38:38 (-3 TMZ) | 06:00:03:38 (Artemis Clock) | El cable sigue sin estar cerca de eso, y además dígannos qué cable era. Si eso fue EMI proveniente de ese cable, definitivamente necesitamos documentarlo.
07/04/2026 - 19:39:05 (-3 TMZ) | 06:00:04:05 (Artemis Clock) | Lo que está cerca del detector de humo ahora mismo. El único cable que lo estuvo era un cable HDMI desconectado que va de las cámaras, ya saben, al codificador. Ahora mismo estamos cerca de él, como un par de cabezas cerca, pero aparte de eso no estamos viendo nada que pudiera causar
07/04/2026 - 19:39:07 (-3 TMZ) | 06:00:04:07 (Artemis Clock) | picos de ningún tipo.
07/04/2026 - 19:39:25 (-3 TMZ) | 06:00:04:25 (Artemis Clock) | Muy bien, copiado. Gracias por esa información. Seguimos rascándonos la cabeza aquí abajo.
07/04/2026 - 19:47:51 (-3 TMZ) | 06:00:12:51 (Artemis Clock) | Houston Integridad para Photo TV.
07/04/2026 - 19:47:54 (-3 TMZ) | 06:00:12:54 (Artemis Clock) | Adelante para Photo TV.
07/04/2026 - 19:48:18 (-3 TMZ) | 06:00:13:18 (Artemis Clock) | Están en PCD2. Por favor miren unas diez imágenes ahí, en “imagery for downlink”, en la subcarpeta de PhotoTV; si PhotoTV pudiera echarles un vistazo y, ojalá, darnos un pulgar arriba, y si no, darnos retroalimentación, lo agradeceríamos.
07/04/2026 - 19:48:23 (-3 TMZ) | 06:00:13:23 (Artemis Clock) | Las bajaremos, les echaremos un vistazo y luego les responderemos.
07/04/2026 - 20:17:32 (-3 TMZ) | 06:00:42:32 (Artemis Clock) | Y ténganlo en cuenta, Houston: dos minutos para las maniobras Starfield, y tenemos un par de palabras más para ustedes.
07/04/2026 - 20:18:13 (-3 TMZ) | 06:00:43:13 (Artemis Clock) | No hay cambios en el plan de quema ni en el PAD. Sin embargo, justo después de la quema, vamos a cambiar el plan de quema activo al plan en la ranura 4, que es el nominal PLS-RTC last.
07/04/2026 - 20:18:33 (-3 TMZ) | 06:00:43:33 (Artemis Clock) | Ok, eso tiene sentido. Esperábamos eso pronto. Suena muy bien.
07/04/2026 - 20:19:05 (-3 TMZ) | 06:00:44:05 (Artemis Clock) | Y Stan, ya que te tenemos, hay una nueva foto en PAO para downlink en PCD2.
07/04/2026 - 20:19:10 (-3 TMZ) | 06:00:44:10 (Artemis Clock) | Copiado, iremos a buscar la foto en PCD2.
07/04/2026 - 20:20:42 (-3 TMZ) | 06:00:45:42 (Artemis Clock) | Houston Integridad, ¿estamos bien para la línea secundaria de purga?
07/04/2026 - 20:20:48 (-3 TMZ) | 06:00:45:48 (Artemis Clock) | Verificando.
07/04/2026 - 20:21:09 (-3 TMZ) | 06:00:46:09 (Artemis Clock) | Genial, gracias.
07/04/2026 - 20:27:43 (-3 TMZ) | 06:00:52:43 (Artemis Clock) | Integridad, maniobras Starfield completas.
07/04/2026 - 20:28:03 (-3 TMZ) | 06:00:53:03 (Artemis Clock) | Copiamos, Sam. Gracias.
07/04/2026 - 20:33:50 (-3 TMZ) | 06:00:58:50 (Artemis Clock) | para que podamos observar, pero no llamar ni comandar durante ese período.
07/04/2026 - 20:33:52 (-3 TMZ) | 06:00:58:52 (Artemis Clock) | Y corrección: seguimos go para la quema.
07/04/2026 - 20:34:11 (-3 TMZ) | 06:00:59:11 (Artemis Clock) | Hablaremos con ustedes del otro lado de esa quema, o después de ella.
07/04/2026 - 20:34:13 (-3 TMZ) | 06:00:59:13 (Artemis Clock) | Pérdida de retorno o pérdida de enlace hacia adelante.
07/04/2026 - 20:34:15 (-3 TMZ) | 06:00:59:15 (Artemis Clock) | Roger. Esperen el go final.
07/04/2026 - 20:35:22 (-3 TMZ) | 06:01:00:22 (Artemis Clock) | Ok, copiamos que siguen go, entonces seguiremos aquí arriba.
07/04/2026 - 20:39:33 (-3 TMZ) | 06:01:04:33 (Artemis Clock) | El ARS está configurado para ejercicio, así que Christina puede comenzar durante el LOS.
07/04/2026 - 20:39:53 (-3 TMZ) | 06:01:04:53 (Artemis Clock) | Gracias. Buenas palabras.
