06/04/2026 - 19:35:08 (-3 TMZ) | 05:00:00:08 (Artemis Clock) | Okay, impact flashes, zip reps in the blind. We got it.
06/04/2026 - 19:35:25 (-3 TMZ) | 05:00:00:25 (Artemis Clock) | And I just see you understand what's going on with window 1, there is light coming through the outer hall from window 2 into the inside of window 1, if that makes sense. Like I can see the inside of the vehicle if I look between the two panes of glass. Copy.
06/04/2026 - 19:35:48 (-3 TMZ) | 05:00:00:48 (Artemis Clock) | You're getting your first live look at Orion, the moon, and the Earth— everyone in this picture.
06/04/2026 - 19:36:25 (-3 TMZ) | 05:00:01:25 (Artemis Clock) | Currently aboard Orion, four crew members: Reid Wiseman, Victor Glover, Christina Koch and Jeremy Hansen.
06/04/2026 - 19:37:01 (-3 TMZ) | 05:00:02:01 (Artemis Clock) | Establish contact.
06/04/2026 - 19:37:22 (-3 TMZ) | 05:00:02:22 (Artemis Clock) | Lunar flyby LOS. From all of us, it's a privilege to witness you carrying the fire past our farthest reach. Thank you. Godspeed.
06/04/2026 - 19:37:44 (-3 TMZ) | 05:00:02:44 (Artemis Clock) | Thank you for that, Jenny, and thank you to all of you for allowing us the immense privilege to be on this journey together. It's quite amazing. And as we go on this journey, thinking about the NASA mission.
06/04/2026 - 19:38:27 (-3 TMZ) | 05:00:03:27 (Artemis Clock) | important mysteries there on earth, and that's love. Christ said in response to what was the greatest command that it was to love God with all that you are. And
06/04/2026 - 19:38:43 (-3 TMZ) | 05:00:03:43 (Artemis Clock) | He also being a great teacher said the second is equal to it, and that is to love your neighbor as yourself. And so as we prepare to go out of radio communication, we're still to feel your love from Earth and to all of you.
06/04/2026 - 19:38:49 (-3 TMZ) | 05:00:03:49 (Artemis Clock) | down there on Earth, and around Earth. We love you from the Moon.
06/04/2026 - 19:39:09 (-3 TMZ) | 05:00:04:09 (Artemis Clock) | Suicide.
06/04/2026 - 19:39:11 (-3 TMZ) | 05:00:04:11 (Artemis Clock) | We will see you on the other side.
06/04/2026 - 19:40:08 (-3 TMZ) | 05:00:05:08 (Artemis Clock) | Astronaut Victor Glover and a little bit of a love letter from the other side of the moon all the way to Earth.
06/04/2026 - 19:40:14 (-3 TMZ) | 05:00:05:14 (Artemis Clock) | Glover touching on the teachings of Jesus, including to love your neighbor as yourself. We are now less than three minutes away from loss of signal with the Orion astronauts.
