07/04/2026 - 19:38:20 (-3 TMZ) | 06:00:03:20 (Artemis Clock) | and plus X flange heaters are on, and prop avionics are configured.
07/04/2026 - 19:38:46 (-3 TMZ) | 06:00:03:46 (Artemis Clock) | Unfortunately, we have seen the spikes return in the signal from the smoke detector. Can you check that the cable is still not near it, and also tell us what cable it was? If that was EMI off of that cable, we definitely need to document this.
07/04/2026 - 19:39:12 (-3 TMZ) | 06:00:04:12 (Artemis Clock) | Thanks for keeping an eye on that. Nothing is near the smoke detector right now. The only cable that was was an unconnected HDMI cable that goes from cameras, you know, to the encoder. We are near it right now, like a couple heads are near it, but...
07/04/2026 - 19:39:18 (-3 TMZ) | 06:00:04:18 (Artemis Clock) | Other than that, we are not seeing anything that would cause spikes of any kind.
07/04/2026 - 19:39:29 (-3 TMZ) | 06:00:04:29 (Artemis Clock) | All right, copy. Thanks for that information. We're still scratching our heads down here.
07/04/2026 - 19:45:08 (-3 TMZ) | 06:00:10:08 (Artemis Clock) | Twenty-eight and nine minutes into the flight of Artemis Two, first flight of humans aboard the Orion spacecraft.
07/04/2026 - 19:45:14 (-3 TMZ) | 06:00:10:14 (Artemis Clock) | We heard some calls earlier about potential noise or pings on the
07/04/2026 - 19:45:42 (-3 TMZ) | 06:00:10:42 (Artemis Clock) | The crew sees nothing out of the norm aboard the spacecraft, so teams on the ground are trying to figure out where that interference might be coming from.
07/04/2026 - 19:45:53 (-3 TMZ) | 06:00:10:53 (Artemis Clock) | It's a little more of a quiet day for the crew after their extremely busy day yesterday during lunar flyby. They had the opportunity to speak live with the crew living and working on the International Space Station right now, and shortly thereafter conducted the post-lunar flyby conference.
07/04/2026 - 19:46:25 (-3 TMZ) | 06:00:11:25 (Artemis Clock) | The crew members have also gotten a chance to talk with their families today and have been slated to do some exercise. They're targeted to execute the RTC-1 burn, that's Return Trajectory Correction 1, at about 7:03 p.m. Central Time.
07/04/2026 - 19:46:45 (-3 TMZ) | 06:00:11:45 (Artemis Clock) | their midday meals. On the menu today are some soups. We've got split pea soup, potato soup.
07/04/2026 - 19:47:06 (-3 TMZ) | 06:00:12:06 (Artemis Clock) | and cheese and some mango salad, as was mentioned in that ISS ship-to-ship call earlier, and some more coffee.
07/04/2026 - 19:48:02 (-3 TMZ) | 06:00:13:02 (Artemis Clock) | tortillas on a spacecraft. Tortillas are often used in place of bread when we're talking about Orion or the International Space Station.
07/04/2026 - 19:48:07 (-3 TMZ) | 06:00:13:07 (Artemis Clock) | Go ahead for Photo TV.
